"query","category"
"How do I sign up for a new account on your site?","Account Creation"
"I tried making an account but it says 'email already used,' what should I do?","Account Creation"
"Need help creating an account for my dad, can I do it under my email?","Account Creation"
"I was trying to make an account for my cousin but it wouldn't let me, maybe because we share a laptop?","Account Creation"
"Can I sign up without giving my phone number?","Account Creation"
"Made a profile yesterday but can't tell if it went through, nothing in my email.","Account Creation"
"I can't log in even though my password is correct.","Login Issues"
"Every time I try logging in, it kicks me back to the home page.","Login Issues"
"My account just logged me out randomly and now I can't get back in.","Login Issues"
"Whenever I try to log in on my work computer it just refreshes, but my phone works fine.","Login Issues"
"Is there a reason I keep getting kicked out after like 5 mins?","Login Issues"
"My login works for my brother but not for me on the same device??","Login Issues"
"I forgot my password and the reset email never came.","Password Reset"
"Trying to reset password but the link expired in 2 minutes??","Password Reset"
"How can I change my password without logging in?","Password Reset"
"I clicked reset password but the link is broken—might be my email client though.","Password Reset"
"I think I changed my password but now none of my usual ones work.","Password Reset"
"I don't remember if I signed up with Facebook or email, how do I reset my pass?","Password Reset"
"My 2FA code is not working, keeps saying invalid.","Two-Factor Authentication"
"I lost my phone with the authentication app on it, how do I log in?","Two-Factor Authentication"
"Can I disable two-factor temporarily? I'm traveling and can't get texts.","Two-Factor Authentication"
"I got a new phone yesterday and now can't log in—does 2FA need to be re-set up?","Two-Factor Authentication"
"The code you sent is different every time I try, is that normal?","Two-Factor Authentication"
"I was traveling and didn't have signal, so I couldn't get my login code… now I'm locked out.","Two-Factor Authentication"
"How do I update my profile picture?","Profile Updates"
"I need to change my email from Gmail to Outlook but can't find the option.","Profile Updates"
"Accidentally put wrong birthday on my profile, can you fix it?","Profile Updates"
"My profile name shows twice on my account, can you fix that?","Profile Updates"
"I need to switch my email, but the system says 'already in use' even though I own it.","Profile Updates"
"Changed my profile pic but it's blurry now.","Profile Updates"
"Why was I charged twice this month?","Billing Inquiry"
"My credit card shows a payment I didn't make.","Billing Inquiry"
"Can you explain the $4.99 fee that appeared yesterday?","Billing Inquiry"
"There's a random $2.00 charge this morning—no idea what it's for.","Billing Inquiry"
"I was charged on two different cards this month (same account).","Billing Inquiry"
"Got a charge a week before my renewal date—why?","Billing Inquiry"
"Can I get a refund for my subscription?","Refund Request"
"I canceled before renewal but still got billed—need refund.","Refund Request"
"Bought wrong plan by accident, please refund.","Refund Request"
"The subscription renewed right after I paused it, need my money back.","Refund Request"
"I accidentally bought the wrong product twice.","Refund Request"
"Paid for premium but only got the free version—refund please.","Refund Request"
"How can I switch to the annual plan?","Subscription Upgrade/Downgrade"
"Want to downgrade from premium to basic, what's the process?","Subscription Upgrade/Downgrade"
"Accidentally upgraded my subscription, how do I revert?","Subscription Upgrade/Downgrade"
"How do I check if I'm actually on the yearly plan now?","Subscription Upgrade/Downgrade"
"Wanted to upgrade but it says 'payment declined' even though I have funds.","Subscription Upgrade/Downgrade"
"Downgraded my plan but still got charged the higher amount.","Subscription Upgrade/Downgrade"
"How do I change my payment card?","Payment Method Update"
"My card expired, need to update payment info.","Payment Method Update"
"Can I pay via PayPal instead of credit card?","Payment Method Update"
"My card got stolen, need to switch to a new one ASAP.","Payment Method Update"
"Is there a way to use two cards for payment?","Payment Method Update"
"Tried to change payment but it just spins forever on the loading screen.","Payment Method Update"
"Need a copy of last month's invoice for my accountant.","Invoice Request"
"Can you send me all my invoices for this year?","Invoice Request"
"Lost my receipt for March, please resend.","Invoice Request"
"Need a detailed receipt for tax purposes—does it show VAT?","Invoice Request"
"Could you resend me invoices from last year? I think I deleted them.","Invoice Request"
"Can you add my company name to the invoice after it's been issued?","Invoice Request"
"Where is my order #12456?","Order Status"
"Can you tell me when my chair will arrive?","Order Status"
"I placed an order two weeks ago, no updates yet.","Order Status"
"Ordered something last Friday but didn't get a confirmation email.","Order Status"
"Tracking says 'label created' for days—what's going on?","Order Status"
"Do you guys ship on weekends?","Order Status"
"My package is late, tracking says 'in transit' for 5 days.","Shipping Delay"
"Why is my delivery stuck in another city?","Shipping Delay"
"I paid for express shipping but it's still not here.","Shipping Delay"
"Package was supposed to come yesterday but no updates since Monday.","Shipping Delay"
"Says delivered but it's not here, maybe sent to the wrong address.","Shipping Delay"
"Paid extra for 2-day shipping but it's been a week.","Shipping Delay"
"How do I return a defective item?","Product Return"
"The shoes I got are the wrong size, want to return.","Product Return"
"Is there a return label in the box or do I print one?","Product Return"
"The item I got is not what I ordered—it's close, but not the same model.","Product Return"
"I threw away the box, can I still return this?","Product Return"
"I think my return was received but I haven't gotten a refund yet.","Product Return"
"My headphones broke after 3 months, is it covered?","Warranty Claim"
"Can you replace my blender under warranty?","Warranty Claim"
"How long is the warranty on this product?","Warranty Claim"
"My laptop charger melted after 6 months—covered?","Warranty Claim"
"The stitching came apart on my bag after 2 weeks of light use.","Warranty Claim"
"Do you need photos for a warranty claim?","Warranty Claim"
"The app crashes when I open settings.","Technical Bug Report"
"I keep getting 'error 500' when logging in on desktop.","Technical Bug Report"
"Notifications aren't working after the last update.","Technical Bug Report"
"App freezes when I try to upload certain files (jpg is fine, png isn't).","Technical Bug Report"
"It says 'no internet' even though I'm connected.","Technical Bug Report"
"My cursor disappears only in your desktop app.","Technical Bug Report"
"Please add dark mode, my eyes hurt at night.","Feature Request"
"Any chance you can add calendar integration?","Feature Request"
"Would love to have a widget for quick access.","Feature Request"
"Could you add an 'undo' button to edits?","Feature Request"
"Would love if you had more font choices for reports.","Feature Request"
"Is there a way to make the dashboard less cluttered?","Feature Request"
"How do I connect this to Google Calendar?","Integration Help"
"I linked my account to Slack but it's not syncing.","Integration Help"
"Need help integrating with Zapier.","Integration Help"
"Tried linking with Google Calendar but only half my events show up.","Integration Help"
"Zapier keeps throwing a '403' error on your integration.","Integration Help"
"Can I connect this to Trello somehow?","Integration Help"
